,road,vol,speed,last-update-time
8349,公园中路(人民路-河南路),11.0,20.0,2012-11-14  17:41:51 
8350,公园中路(人民路-河南路),7.0,42.0,2012-11-14  17:40:50 
8351,公园中路(人民路-河南路),6.0,43.0,2012-11-14  17:39:50 
8352,公园中路(人民路-河南路),11.0,33.0,2012-11-14  17:38:50 
8353,公园中路(人民路-河南路),8.0,16.0,2012-11-14  17:37:50 
8354,公园中路(人民路-河南路),4.0,13.0,2012-11-14  17:36:50 
8355,公园中路(人民路-河南路),,,2012-11-14  17:35:48 
8356,公园中路(人民路-河南路),1.0,12.0,2012-11-14  17:34:50 
8357,公园中路(人民路-河南路),,,2012-11-14  17:33:50 
8358,公园中路(人民路-河南路),1.0,2.0,2012-11-14  17:32:50 
8359,公园中路(人民路-河南路),4.0,23.0,2012-11-14  17:31:50 
8360,公园中路(人民路-河南路),5.0,25.0,2012-11-14  17:30:49 
8361,公园中路(人民路-河南路),14.0,32.0,2012-11-14  17:29:49 
8362,公园中路(人民路-河南路),7.0,15.0,2012-11-14  17:28:49 
8363,公园中路(人民路-河南路),12.0,19.0,2012-11-14  17:27:49 
8364,公园中路(人民路-河南路),16.0,34.0,2012-11-14  17:26:49 
8365,公园中路(人民路-河南路),7.0,41.0,2012-11-14  17:25:49 
8366,公园中路(人民路-河南路),,,2012-11-14  17:24:47 
8367,公园中路(人民路-河南路),,,2012-11-14  17:23:49 
